TA, Crossing, Gate number, Time
Surbhi Goyal, EXIT, 1, 03:55:21
Dhruv Mishra, ENTER, 5, 03:55:22
Khushdev Pandit, EXIT, 1, 03:55:39
Sahil Goyal, ENTER, 3, 03:55:56
Swaib Ilias Mazumder, EXIT, 1, 03:55:56
Rohan Dhar, EXIT, 3, 03:56:23
Swatantra kumar nigam, ENTER, 5, 03:56:53
Vamshi Krishna Vannekala, ENTER, 3, 03:57:02
Khushdev Pandit, ENTER, 5, 03:57:13
Khushdev Pandit, EXIT, 1, 03:57:14
Khushdev Pandit, ENTER, 5, 03:57:15
Yuvraj Singh, EXIT, 5, 03:57:20
Aditya Raj Singh, ENTER, 1, 03:57:32
Rishabh Oberoi, ENTER, 3, 03:57:38
Khushdev Pandit, EXIT, 5, 03:57:43
Khushdev Pandit, ENTER, 1, 03:57:50
Khushdev Pandit, EXIT, 3, 03:57:54
Surbhi Goyal, ENTER, 1, 03:58:13
Ujjwal Garg, ENTER, 1, 03:58:17
Dhruv Mishra, EXIT, 1, 03:58:19
Khushdev Pandit, ENTER, 3, 03:58:26
Manav Saini, EXIT, 5, 03:58:29
Shraman Jain, EXIT, 5, 03:58:33
Khushdev Pandit, EXIT, 1, 03:58:45
Khushdev Pandit, ENTER, 5, 03:58:58
Sumit Kumar, ENTER, 5, 03:59:00
Khushdev Pandit, EXIT, 3, 03:59:28
Khushdev Pandit, ENTER, 3, 03:59:34
Khushdev Pandit, EXIT, 5, 03:59:48
Khushdev Pandit, ENTER, 3, 03:59:57
Khushdev Pandit, EXIT, 5, 04:00:02
Khushdev Pandit, ENTER, 3, 04:00:09
Swaib Ilias Mazumder, ENTER, 1, 04:00:16
Khushdev Pandit, EXIT, 5, 04:00:19
Bharat Goyal, ENTER, 3, 04:00:19
Rishabh Oberoi, EXIT, 1, 04:00:24
Khushdev Pandit, ENTER, 3, 04:00:25
Aryan Chaudhary, EXIT, 3, 04:00:26
Ujjwal Garg, EXIT, 3, 04:00:36
Sumit Kumar, EXIT, 3, 04:01:07
Dhruv Mishra, ENTER, 3, 04:01:11
Khushdev Pandit, EXIT, 5, 04:01:28
Rishabh Oberoi, ENTER, 3, 04:01:35
Shashank Dargar, ENTER, 5, 04:02:12
Khushdev Pandit, ENTER, 1, 04:02:14
Manav Saini, ENTER, 3, 04:02:22
Snehal, ENTER, 3, 04:02:24
Kartik Gupta, ENTER, 5, 04:02:25
Shambhavi Sharma, ENTER, 1, 04:02:38
Param Shah, ENTER, 3, 04:02:45
Rishabh Oberoi, EXIT, 1, 04:02:48
Khushdev Pandit, EXIT, 3, 04:02:57
Khushdev Pandit, ENTER, 1, 04:03:04
Khushdev Pandit, EXIT, 1, 04:03:24
Khushdev Pandit, ENTER, 1, 04:03:38
Khushdev Pandit, EXIT, 1, 04:03:45
Aryan Chaudhary, ENTER, 1, 04:03:45
Shraman Jain, ENTER, 1, 04:04:44
Aditya Raj Singh, EXIT, 3, 04:04:49
Smiti Singhal, ENTER, 1, 04:04:52
Param Shah, EXIT, 5, 04:05:14
Khushdev Pandit, ENTER, 3, 04:05:17
Khushdev Pandit, EXIT, 3, 04:05:36
Swaib Ilias Mazumder, EXIT, 3, 04:06:00
Shraman Jain, EXIT, 5, 04:06:29
Bharat Goyal, EXIT, 3, 04:06:32
Dhruv Mishra, EXIT, 1, 04:06:34
Thanmayee Matha, EXIT, 5, 04:06:41
Surbhi Goyal, EXIT, 1, 04:06:46
Manav Saini, EXIT, 3, 04:07:07
Swatantra kumar nigam, EXIT, 1, 04:07:08
Ayush Srivastava, ENTER, 5, 04:07:11
Ayush Srivastava, EXIT, 3, 04:07:13
Bhavya Jain, ENTER, 3, 04:07:26
Swatantra kumar nigam, ENTER, 5, 04:07:30
Khushdev Pandit, ENTER, 5, 04:07:32
Ayush Srivastava, ENTER, 3, 04:07:42
Khushdev Pandit, EXIT, 3, 04:07:49
Surbhi Goyal, ENTER, 3, 04:07:55
Smiti Singhal, EXIT, 5, 04:08:03
Manas, EXIT, 1, 04:08:05
Swaib Ilias Mazumder, ENTER, 1, 04:08:15
Vibhor Agarwal, ENTER, 3, 04:08:31
Manav Saini, ENTER, 5, 04:08:34
Khushdev Pandit, ENTER, 5, 04:08:37
Snehal, EXIT, 5, 04:08:38
Sumit Kumar, ENTER, 1, 04:08:39
Sushil Kumar, ENTER, 5, 04:08:46
Thanmayee Matha, ENTER, 5, 04:08:57
Khushdev Pandit, EXIT, 1, 04:09:05
Khushdev Pandit, ENTER, 5, 04:09:08
Ayush Srivastava, EXIT, 5, 04:09:30
Khushdev Pandit, EXIT, 1, 04:09:35
Khushdev Pandit, ENTER, 1, 04:09:38
Khushdev Pandit, EXIT, 1, 04:09:44
Mohammed Kaif, ENTER, 3, 04:10:02
Khushdev Pandit, ENTER, 5, 04:10:13
Karan Baboota, ENTER, 5, 04:10:34
Swati Jha, EXIT, 1, 04:10:35
Thanmayee Matha, EXIT, 1, 04:10:36
Swati Jha, ENTER, 5, 04:10:41
Anuj Yadav, ENTER, 5, 04:10:59
Rishabh Oberoi, ENTER, 5, 04:11:31
Khushdev Pandit, EXIT, 5, 04:11:35
Ankita Mahato, ENTER, 1, 04:11:38
Khushdev Pandit, ENTER, 3, 04:11:45
Thanmayee Matha, ENTER, 1, 04:11:59
Khushdev Pandit, EXIT, 3, 04:12:00
Khushdev Pandit, ENTER, 3, 04:12:03
Aditya Raj Singh, ENTER, 5, 04:12:14
Swatantra kumar nigam, EXIT, 3, 04:12:16
Khushdev Pandit, EXIT, 3, 04:12:24
Mohammed Kaif, EXIT, 1, 04:12:30
Khushdev Pandit, ENTER, 1, 04:12:50
Khushdev Pandit, EXIT, 5, 04:12:55
Shashank Dargar, EXIT, 1, 04:13:21
Swati Jha, EXIT, 1, 04:13:26
Vibhor Agarwal, EXIT, 1, 04:13:26
Khushdev Pandit, ENTER, 1, 04:13:27
Shraman Jain, ENTER, 1, 04:13:43
Khushdev Pandit, EXIT, 1, 04:13:56
Shraman Jain, EXIT, 5, 04:14:33
Khushdev Pandit, ENTER, 5, 04:14:45
Gayam Shivakanth Reddy, ENTER, 3, 04:14:48
Dhruv Mishra, ENTER, 3, 04:14:54
Rishika Jain, ENTER, 5, 04:15:02
Khushdev Pandit, EXIT, 3, 04:15:12
Yuvraj Singh, ENTER, 1, 04:15:18
Khushdev Pandit, ENTER, 3, 04:15:19
Ankita Mahato, EXIT, 5, 04:15:37
Swaib Ilias Mazumder, EXIT, 1, 04:15:54
Khushdev Pandit, EXIT, 5, 04:16:25
Bhavya Jain, EXIT, 3, 04:16:32
Thakkar Divyakumar Rameshbhai, ENTER, 5, 04:17:04
Bharat Goyal, ENTER, 3, 04:17:05
Bharat Goyal, EXIT, 1, 04:17:12
Khushdev Pandit, ENTER, 3, 04:17:16
Khushdev Pandit, EXIT, 5, 04:17:28
Aditya Raj Singh, EXIT, 3, 04:17:48
Yuvraj Singh, EXIT, 1, 04:17:55
Thanmayee Matha, EXIT, 3, 04:18:02
Swaib Ilias Mazumder, ENTER, 5, 04:18:03
Khushdev Pandit, ENTER, 5, 04:18:05
Yuvraj Singh, ENTER, 1, 04:18:30
Bharat Goyal, ENTER, 3, 04:18:38
Param Shah, ENTER, 1, 04:18:54
Dhruv Mishra, EXIT, 3, 04:18:58
Khushdev Pandit, EXIT, 3, 04:19:17
Khushdev Pandit, ENTER, 5, 04:19:22
Khushdev Pandit, EXIT, 5, 04:20:03
Khushdev Pandit, ENTER, 3, 04:20:09
Rohan Dhar, ENTER, 5, 04:20:09
Vibhor Agarwal, ENTER, 1, 04:20:26
Yuvraj Singh, EXIT, 1, 04:20:27
Swatantra kumar nigam, ENTER, 5, 04:20:30
Bharat Goyal, EXIT, 3, 04:20:41
Khushdev Pandit, EXIT, 1, 04:20:42
Swatantra kumar nigam, EXIT, 3, 04:20:50
Sahil Goyal, EXIT, 1, 04:21:14
Ujjwal Garg, ENTER, 5, 04:21:17
Sushil Kumar, EXIT, 5, 04:21:19
Shashank Dargar, ENTER, 3, 04:21:35
Ujjwal Garg, EXIT, 1, 04:21:38
Sushil Kumar, ENTER, 3, 04:21:47
Swaib Ilias Mazumder, EXIT, 5, 04:22:01
Khushdev Pandit, ENTER, 1, 04:22:10
Ankita Mahato, ENTER, 5, 04:22:11
Swatantra kumar nigam, ENTER, 3, 04:22:11
Khushdev Pandit, EXIT, 5, 04:22:15
Aditya Raj Singh, ENTER, 1, 04:23:00
Mohammed Kaif, ENTER, 5, 04:23:01
Anuj Yadav, EXIT, 5, 04:23:11
Karan Baboota, EXIT, 3, 04:23:20
Vibhor Agarwal, EXIT, 5, 04:23:23
Thanmayee Matha, ENTER, 3, 04:23:23
Swatantra kumar nigam, EXIT, 1, 04:23:40
Khushdev Pandit, ENTER, 5, 04:23:45
Khushdev Pandit, EXIT, 5, 04:23:47
Param Shah, EXIT, 5, 04:23:53
Ankita Mahato, EXIT, 5, 04:24:08
Vamshi Krishna Vannekala, EXIT, 1, 04:24:09
Thakkar Divyakumar Rameshbhai, EXIT, 3, 04:24:26
Shashank Dargar, EXIT, 1, 04:24:48
Smiti Singhal, ENTER, 1, 04:24:53
Khushdev Pandit, ENTER, 5, 04:24:55
Manas, ENTER, 3, 04:25:00
Rohan Dhar, EXIT, 5, 04:25:04
Vamshi Krishna Vannekala, ENTER, 5, 04:25:11
Gayam Shivakanth Reddy, EXIT, 5, 04:25:13
Swatantra kumar nigam, ENTER, 1, 04:25:51
Shashank Dargar, ENTER, 5, 04:26:42
Sushil Kumar, EXIT, 5, 04:26:42
Swatantra kumar nigam, EXIT, 5, 04:26:43
Yuvraj Singh, ENTER, 5, 04:26:43
Sushil Kumar, ENTER, 5, 04:26:46
Kartik Gupta, EXIT, 3, 04:26:47
Shambhavi Sharma, EXIT, 5, 04:26:48
Khushdev Pandit, EXIT, 3, 04:26:54
Karan Baboota, ENTER, 1, 04:27:06
Swatantra kumar nigam, ENTER, 5, 04:27:22
Swati Jha, ENTER, 1, 04:27:29
Vamshi Krishna Vannekala, EXIT, 3, 04:27:37
Khushdev Pandit, ENTER, 1, 04:27:44
Khushdev Pandit, EXIT, 3, 04:28:02
Swati Jha, EXIT, 3, 04:28:27
Khushdev Pandit, ENTER, 1, 04:28:47
Aditya Raj Singh, EXIT, 1, 04:28:47
Mohammed Kaif, EXIT, 1, 04:28:55
Vamshi Krishna Vannekala, ENTER, 1, 04:28:55
Gayam Shivakanth Reddy, ENTER, 1, 04:29:00
Manav Saini, EXIT, 1, 04:29:02
Sushil Kumar, EXIT, 5, 04:29:10
Gayam Shivakanth Reddy, EXIT, 3, 04:29:30
Khushdev Pandit, EXIT, 5, 04:29:33
Karan Baboota, EXIT, 1, 04:29:38
Aryan Chaudhary, EXIT, 3, 04:30:00
Rishika Jain, EXIT, 3, 04:30:07
Mohammed Kaif, ENTER, 3, 04:30:15
Khushdev Pandit, ENTER, 1, 04:30:26
Khushdev Pandit, EXIT, 1, 04:30:31
Thanmayee Matha, EXIT, 3, 04:30:33
Ujjwal Garg, ENTER, 1, 04:30:33
Dhruv Mishra, ENTER, 1, 04:30:35
Khushdev Pandit, ENTER, 1, 04:30:49
Khushdev Pandit, EXIT, 5, 04:31:09
Khushdev Pandit, ENTER, 1, 04:31:10
Khushdev Pandit, EXIT, 3, 04:31:14
Khushdev Pandit, ENTER, 1, 04:31:17
Gayam Shivakanth Reddy, ENTER, 5, 04:31:27
Bhavya Jain, ENTER, 5, 04:32:01
Khushdev Pandit, EXIT, 5, 04:32:09
Khushdev Pandit, ENTER, 1, 04:32:09
Khushdev Pandit, EXIT, 5, 04:32:28
Param Shah, ENTER, 5, 04:32:33
Khushdev Pandit, ENTER, 5, 04:32:40
Sushil Kumar, ENTER, 5, 04:33:26
Ayush Srivastava, ENTER, 5, 04:33:35
Khushdev Pandit, EXIT, 5, 04:33:44
Thanmayee Matha, ENTER, 3, 04:33:46
Khushdev Pandit, ENTER, 3, 04:33:54
Rishika Jain, ENTER, 5, 04:34:01
Dhruv Mishra, EXIT, 1, 04:34:20
Ayush Srivastava, EXIT, 1, 04:34:30
Thanmayee Matha, EXIT, 5, 04:34:39
Swatantra kumar nigam, EXIT, 1, 04:34:41
Shambhavi Sharma, ENTER, 1, 04:34:57
Khushdev Pandit, EXIT, 1, 04:35:06
Swatantra kumar nigam, ENTER, 5, 04:35:06
Vamshi Krishna Vannekala, EXIT, 5, 04:35:09
Khushdev Pandit, ENTER, 5, 04:35:42
Khushdev Pandit, EXIT, 5, 04:35:46
Khushdev Pandit, ENTER, 1, 04:35:49
Anuj Yadav, ENTER, 1, 04:35:58
Swaib Ilias Mazumder, ENTER, 3, 04:36:00
Rishika Jain, EXIT, 5, 04:36:01
Sahil Goyal, ENTER, 1, 04:36:04
Khushdev Pandit, EXIT, 5, 04:36:16
Khushdev Pandit, ENTER, 1, 04:36:24
Shashank Dargar, EXIT, 1, 04:36:28
Yuvraj Singh, EXIT, 3, 04:36:34
Ankita Mahato, ENTER, 3, 04:36:40
Khushdev Pandit, EXIT, 1, 04:36:41
Khushdev Pandit, ENTER, 5, 04:37:17
Thakkar Divyakumar Rameshbhai, ENTER, 5, 04:37:17
Manas, EXIT, 3, 04:37:20
Khushdev Pandit, EXIT, 5, 04:37:25
Khushdev Pandit, ENTER, 1, 04:37:28
Gayam Shivakanth Reddy, EXIT, 3, 04:37:41
Mohammed Kaif, EXIT, 1, 04:37:48
Gayam Shivakanth Reddy, ENTER, 5, 04:38:13
Swaib Ilias Mazumder, EXIT, 1, 04:38:16
Aditya Raj Singh, ENTER, 5, 04:38:35
Khushdev Pandit, EXIT, 1, 04:38:40
Bharat Goyal, ENTER, 3, 04:38:41
Aryan Chaudhary, ENTER, 5, 04:38:42
Kartik Gupta, ENTER, 1, 04:38:59
Khushdev Pandit, ENTER, 3, 04:39:02
Gayam Shivakanth Reddy, EXIT, 5, 04:39:02
Aditya Raj Singh, EXIT, 3, 04:39:25
Khushdev Pandit, EXIT, 5, 04:40:13
Snehal, ENTER, 1, 04:40:29
Anuj Yadav, EXIT, 5, 04:40:30
Rishabh Oberoi, EXIT, 1, 04:40:32
Khushdev Pandit, ENTER, 3, 04:40:38
Aditya Raj Singh, ENTER, 1, 04:40:52
Smiti Singhal, EXIT, 3, 04:40:54
Sahil Goyal, EXIT, 1, 04:40:59
Manas, ENTER, 5, 04:41:01
Anuj Yadav, ENTER, 5, 04:41:15
Khushdev Pandit, EXIT, 1, 04:41:16
Khushdev Pandit, ENTER, 5, 04:41:20
Swatantra kumar nigam, EXIT, 5, 04:41:30
Smiti Singhal, ENTER, 3, 04:41:35
Khushdev Pandit, EXIT, 5, 04:41:48
Khushdev Pandit, ENTER, 5, 04:42:05
Khushdev Pandit, EXIT, 5, 04:42:22
Dhruv Mishra, ENTER, 1, 04:43:23
Shashank Dargar, ENTER, 3, 04:43:25
Bharat Goyal, EXIT, 3, 04:43:29
Khushdev Pandit, ENTER, 5, 04:43:59
Surbhi Goyal, EXIT, 1, 04:44:12
Param Shah, EXIT, 5, 04:44:14
Shambhavi Sharma, EXIT, 1, 04:44:15
Khushdev Pandit, EXIT, 1, 04:44:21
Khushdev Pandit, ENTER, 1, 04:44:22
Mohammed Kaif, ENTER, 5, 04:44:33
Khushdev Pandit, EXIT, 5, 04:44:38
Rishabh Oberoi, ENTER, 3, 04:44:41
Swati Jha, ENTER, 5, 04:44:52
Khushdev Pandit, ENTER, 1, 04:45:04
Khushdev Pandit, EXIT, 1, 04:45:12
Khushdev Pandit, ENTER, 1, 04:45:19
Snehal, EXIT, 1, 04:45:19
Swatantra kumar nigam, ENTER, 5, 04:45:22
Khushdev Pandit, EXIT, 3, 04:45:28
Khushdev Pandit, ENTER, 1, 04:45:32
Bhavya Jain, EXIT, 1, 04:45:39
Khushdev Pandit, EXIT, 3, 04:45:52
Swaib Ilias Mazumder, ENTER, 1, 04:45:52
Khushdev Pandit, ENTER, 3, 04:46:01
Kartik Gupta, EXIT, 3, 04:46:02
Rishabh Oberoi, EXIT, 3, 04:46:07
Ujjwal Garg, EXIT, 3, 04:46:22
Yuvraj Singh, ENTER, 5, 04:46:24
Manav Saini, ENTER, 5, 04:46:28
Karan Baboota, ENTER, 3, 04:46:32
Bharat Goyal, ENTER, 5, 04:46:43
Dhruv Mishra, EXIT, 1, 04:46:46
Khushdev Pandit, EXIT, 1, 04:47:05
Khushdev Pandit, ENTER, 5, 04:47:25
Khushdev Pandit, EXIT, 1, 04:47:32
Aryan Chaudhary, EXIT, 3, 04:47:40
Thakkar Divyakumar Rameshbhai, EXIT, 1, 04:47:50
Swatantra kumar nigam, EXIT, 1, 04:48:07
Swati Jha, EXIT, 3, 04:48:10
Khushdev Pandit, ENTER, 3, 04:48:13
Kartik Gupta, ENTER, 1, 04:48:17
Khushdev Pandit, EXIT, 3, 04:48:22
Vibhor Agarwal, ENTER, 5, 04:48:25
Thakkar Divyakumar Rameshbhai, ENTER, 5, 04:48:30
Khushdev Pandit, ENTER, 5, 04:48:40
Sahil Goyal, ENTER, 1, 04:48:46
Aryan Chaudhary, ENTER, 3, 04:49:01
Karan Baboota, EXIT, 5, 04:49:02
Swati Jha, ENTER, 5, 04:49:40
Khushdev Pandit, EXIT, 5, 04:50:18
Rohan Dhar, ENTER, 1, 04:50:33
Khushdev Pandit, ENTER, 5, 04:50:46
Khushdev Pandit, EXIT, 1, 04:50:50
Swaib Ilias Mazumder, EXIT, 5, 04:50:54
Swati Jha, EXIT, 3, 04:50:57
Anuj Yadav, EXIT, 3, 04:51:15
Rohan Dhar, EXIT, 3, 04:51:17
Yuvraj Singh, EXIT, 3, 04:51:27
Dhruv Mishra, ENTER, 1, 04:51:28
Khushdev Pandit, ENTER, 5, 04:51:30
Sushil Kumar, EXIT, 5, 04:52:11
Rishika Jain, ENTER, 1, 04:52:15
Swatantra kumar nigam, ENTER, 5, 04:52:37
Khushdev Pandit, EXIT, 3, 04:52:42
Manas, EXIT, 3, 04:52:47
Surbhi Goyal, ENTER, 5, 04:53:13
Dhruv Mishra, EXIT, 1, 04:53:23
Khushdev Pandit, ENTER, 3, 04:53:24
Aryan Chaudhary, EXIT, 3, 04:53:47
Thanmayee Matha, ENTER, 1, 04:53:49
Anuj Yadav, ENTER, 5, 04:53:58
Khushdev Pandit, EXIT, 3, 04:54:03
Dhruv Mishra, ENTER, 5, 04:54:05
Bhavya Jain, ENTER, 5, 04:54:18
Manav Saini, EXIT, 3, 04:54:28
Ujjwal Garg, ENTER, 1, 04:55:13
Rishabh Oberoi, ENTER, 3, 04:55:21
Swatantra kumar nigam, EXIT, 3, 04:55:43
Karan Baboota, ENTER, 5, 04:56:05
Khushdev Pandit, ENTER, 3, 04:56:07
Swaib Ilias Mazumder, ENTER, 5, 04:56:22
Sahil Goyal, EXIT, 1, 04:56:30
Khushdev Pandit, EXIT, 3, 04:56:33
Khushdev Pandit, ENTER, 1, 04:56:36
Khushdev Pandit, EXIT, 5, 04:56:49
Manas, ENTER, 5, 04:57:05
Sumit Kumar, EXIT, 5, 04:57:12
Dhruv Mishra, EXIT, 5, 04:57:13
Surbhi Goyal, EXIT, 1, 04:57:29
Rohan Dhar, ENTER, 1, 04:57:43
Bhavya Jain, EXIT, 3, 04:58:12
Khushdev Pandit, ENTER, 5, 04:58:24
Swati Jha, ENTER, 3, 04:58:26
Swaib Ilias Mazumder, EXIT, 1, 04:58:51
Khushdev Pandit, EXIT, 5, 04:58:52
Khushdev Pandit, ENTER, 5, 04:59:02
Khushdev Pandit, EXIT, 3, 04:59:33
Khushdev Pandit, ENTER, 5, 04:59:38
Swaib Ilias Mazumder, ENTER, 3, 04:59:51
Shambhavi Sharma, ENTER, 1, 05:00:10
Swati Jha, EXIT, 5, 05:00:16
Khushdev Pandit, EXIT, 1, 05:00:18
Thakkar Divyakumar Rameshbhai, EXIT, 3, 05:00:18
Sahil Goyal, ENTER, 5, 05:00:20
Ayush Srivastava, ENTER, 1, 05:00:28
Gayam Shivakanth Reddy, ENTER, 3, 05:00:49
Anuj Yadav, EXIT, 1, 05:00:50
Khushdev Pandit, ENTER, 1, 05:01:12
Karan Baboota, EXIT, 3, 05:01:18
Bharat Goyal, EXIT, 3, 05:01:25
Swati Jha, ENTER, 3, 05:01:33
Khushdev Pandit, EXIT, 1, 05:01:55
Ankita Mahato, EXIT, 3, 05:02:04
Kartik Gupta, EXIT, 1, 05:02:07
Manav Saini, ENTER, 3, 05:02:09
Khushdev Pandit, ENTER, 3, 05:02:13
Yuvraj Singh, ENTER, 1, 05:02:14
Shraman Jain, ENTER, 5, 05:02:20
Thakkar Divyakumar Rameshbhai, ENTER, 5, 05:02:28
Khushdev Pandit, EXIT, 3, 05:02:32
Khushdev Pandit, ENTER, 5, 05:02:40
Mohammed Kaif, EXIT, 3, 05:02:49
Khushdev Pandit, EXIT, 5, 05:02:56
Karan Baboota, ENTER, 5, 05:02:56
Snehal, ENTER, 5, 05:03:04
Khushdev Pandit, ENTER, 3, 05:03:05
Khushdev Pandit, EXIT, 1, 05:03:16
Ujjwal Garg, EXIT, 1, 05:03:26
Swatantra kumar nigam, ENTER, 3, 05:03:33
Khushdev Pandit, ENTER, 1, 05:03:36
Thanmayee Matha, EXIT, 3, 05:03:43
Khushdev Pandit, EXIT, 5, 05:03:55
Swati Jha, EXIT, 1, 05:03:57
Gayam Shivakanth Reddy, EXIT, 1, 05:04:34
Gayam Shivakanth Reddy, ENTER, 5, 05:04:37
Khushdev Pandit, ENTER, 5, 05:04:38
Swaib Ilias Mazumder, EXIT, 3, 05:04:52
Vamshi Krishna Vannekala, ENTER, 3, 05:04:53
Manas, EXIT, 3, 05:05:14
Khushdev Pandit, EXIT, 3, 05:05:22
Mohammed Kaif, ENTER, 1, 05:05:25
Sushil Kumar, ENTER, 3, 05:05:27
Khushdev Pandit, ENTER, 3, 05:05:29
Swati Jha, ENTER, 3, 05:05:31
Yuvraj Singh, EXIT, 3, 05:05:32
Yuvraj Singh, ENTER, 5, 05:06:12
Khushdev Pandit, EXIT, 5, 05:06:16
Kartik Gupta, ENTER, 5, 05:06:28
Shraman Jain, EXIT, 1, 05:06:32
Snehal, EXIT, 1, 05:06:37
Surbhi Goyal, ENTER, 1, 05:06:44
Khushdev Pandit, ENTER, 1, 05:06:54
Shraman Jain, ENTER, 5, 05:06:57
Thanmayee Matha, ENTER, 5, 05:07:04
Khushdev Pandit, EXIT, 1, 05:07:05
Karan Baboota, EXIT, 3, 05:07:10
Khushdev Pandit, ENTER, 3, 05:07:27
Khushdev Pandit, EXIT, 5, 05:07:38
Karan Baboota, ENTER, 3, 05:07:39
Manav Saini, EXIT, 3, 05:08:04
Shashank Dargar, EXIT, 3, 05:08:21
Sahil Goyal, EXIT, 5, 05:08:41
Khushdev Pandit, ENTER, 1, 05:09:03
Khushdev Pandit, EXIT, 1, 05:09:04
Khushdev Pandit, ENTER, 1, 05:09:14
Sahil Goyal, ENTER, 5, 05:09:14
Khushdev Pandit, EXIT, 5, 05:09:17
Khushdev Pandit, ENTER, 1, 05:09:30
Rohan Dhar, EXIT, 5, 05:09:34
Vamshi Krishna Vannekala, EXIT, 3, 05:10:00
Khushdev Pandit, EXIT, 5, 05:10:13
Thakkar Divyakumar Rameshbhai, EXIT, 3, 05:10:19
Rishika Jain, EXIT, 1, 05:10:23
Smiti Singhal, EXIT, 1, 05:10:52
Vamshi Krishna Vannekala, ENTER, 1, 05:10:59
Yuvraj Singh, EXIT, 5, 05:10:59
Khushdev Pandit, ENTER, 5, 05:11:03
Bharat Goyal, ENTER, 5, 05:11:07
Swaib Ilias Mazumder, ENTER, 3, 05:11:17
Khushdev Pandit, EXIT, 3, 05:11:20
Khushdev Pandit, ENTER, 3, 05:11:21
Khushdev Pandit, EXIT, 3, 05:11:27
Khushdev Pandit, ENTER, 3, 05:11:32
Rohan Dhar, ENTER, 5, 05:11:38
Khushdev Pandit, EXIT, 3, 05:11:39
Khushdev Pandit, ENTER, 3, 05:11:45
Sumit Kumar, ENTER, 3, 05:11:47
Vibhor Agarwal, EXIT, 3, 05:12:02
Sahil Goyal, EXIT, 5, 05:12:03
Sumit Kumar, EXIT, 1, 05:12:03
Shashank Dargar, ENTER, 3, 05:12:13
Khushdev Pandit, EXIT, 1, 05:12:28
Khushdev Pandit, ENTER, 1, 05:12:33
Smiti Singhal, ENTER, 5, 05:12:36
Swati Jha, EXIT, 5, 05:12:41
Ayush Srivastava, EXIT, 3, 05:12:54
Vamshi Krishna Vannekala, EXIT, 5, 05:13:03
Gayam Shivakanth Reddy, EXIT, 5, 05:13:18
Khushdev Pandit, EXIT, 1, 05:13:33
Shambhavi Sharma, EXIT, 1, 05:13:35
Swaib Ilias Mazumder, EXIT, 5, 05:13:53
Sushil Kumar, EXIT, 5, 05:13:54
Khushdev Pandit, ENTER, 3, 05:13:58
Shashank Dargar, EXIT, 3, 05:14:08
Rishika Jain, ENTER, 3, 05:14:44
Swati Jha, ENTER, 5, 05:14:47
Snehal, ENTER, 3, 05:14:55
Rishabh Oberoi, EXIT, 1, 05:15:05
Swaib Ilias Mazumder, ENTER, 3, 05:15:19
Khushdev Pandit, EXIT, 3, 05:15:26
Sahil Goyal, ENTER, 5, 05:15:35
Khushdev Pandit, ENTER, 5, 05:15:46
Khushdev Pandit, EXIT, 5, 05:16:12
Shashank Dargar, ENTER, 3, 05:16:19
Vibhor Agarwal, ENTER, 1, 05:16:21
Khushdev Pandit, ENTER, 3, 05:16:25
Sahil Goyal, EXIT, 5, 05:16:40
Vamshi Krishna Vannekala, ENTER, 1, 05:17:02
Khushdev Pandit, EXIT, 5, 05:17:06
Khushdev Pandit, ENTER, 5, 05:17:10
Khushdev Pandit, EXIT, 5, 05:17:14
Sahil Goyal, ENTER, 3, 05:17:21
Ujjwal Garg, ENTER, 3, 05:17:28
Khushdev Pandit, ENTER, 3, 05:17:38
Karan Baboota, EXIT, 3, 05:18:13
Anuj Yadav, ENTER, 5, 05:18:22
Ujjwal Garg, EXIT, 3, 05:18:40
Param Shah, ENTER, 1, 05:18:54
Khushdev Pandit, EXIT, 5, 05:18:57
Manav Saini, ENTER, 3, 05:19:15
Sushil Kumar, ENTER, 5, 05:19:16
Dhruv Mishra, ENTER, 3, 05:19:27
Khushdev Pandit, ENTER, 3, 05:19:34
Mohammed Kaif, EXIT, 1, 05:19:45
Kartik Gupta, EXIT, 3, 05:19:49
Shraman Jain, EXIT, 5, 05:20:05
Sushil Kumar, EXIT, 1, 05:20:05
Swaib Ilias Mazumder, EXIT, 1, 05:20:14
Sushil Kumar, ENTER, 5, 05:20:14
Aryan Chaudhary, ENTER, 1, 05:20:17
Manav Saini, EXIT, 1, 05:20:28
Rohan Dhar, EXIT, 1, 05:20:47
Manas, ENTER, 3, 05:21:03
Smiti Singhal, EXIT, 1, 05:21:31
Khushdev Pandit, EXIT, 5, 05:22:02
Khushdev Pandit, ENTER, 3, 05:22:18
Khushdev Pandit, EXIT, 1, 05:22:30
Smiti Singhal, ENTER, 1, 05:22:31
Khushdev Pandit, ENTER, 5, 05:22:43
Khushdev Pandit, EXIT, 3, 05:22:44
Ujjwal Garg, ENTER, 3, 05:22:46
Dhruv Mishra, EXIT, 1, 05:22:47
Khushdev Pandit, ENTER, 1, 05:22:48
Khushdev Pandit, EXIT, 1, 05:23:01
Khushdev Pandit, ENTER, 3, 05:23:01
Vibhor Agarwal, EXIT, 5, 05:23:04
Swaib Ilias Mazumder, ENTER, 5, 05:23:10
Swaib Ilias Mazumder, EXIT, 3, 05:23:19
Mohammed Kaif, ENTER, 1, 05:23:32
Khushdev Pandit, EXIT, 3, 05:23:33
Ayush Srivastava, ENTER, 1, 05:23:36
Khushdev Pandit, ENTER, 1, 05:23:55
Swatantra kumar nigam, EXIT, 5, 05:24:20
